ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-30.25,21.9,-12.07,12.01,10.2,-17.28,2.046622,2.098511,-28.82449
-30.25,21.9,-12.07,12.01,10.2,-17.28,2.046622,2.098511,-28.82449
-30.49,25.02,-11.02,10.86,14.12,-14.86,1.240915,2.34713,-29.05164
-30.49,25.02,-11.02,10.86,14.12,-14.86,1.240915,2.34713,-29.05164
-30.32,31.6,-11.08,6.11,18.87,-10.22,0.5434541,2.293831,-29.3492
-30.32,31.6,-11.08,6.11,18.87,-10.22,0.5434541,2.293831,-29.3492
-27.89,32.1,-11.69,2.62,24.78,0.33,0.06738662,2.080093,-29.73361
-27.89,32.1,-11.69,2.62,24.78,0.33,0.06738662,2.080093,-29.73361
-27.89,32.1,-11.69,2.62,24.78,0.33,0.06738662,2.080093,-29.73361
-25.73,32.98,-13.16,-4.43,38.08,0.43,-0.1356506,1.945374,-29.8488
-25.73,32.98,-13.16,-4.43,38.08,0.43,-0.1356506,1.945374,-29.8488
-20.83,32.63,-17.4,-7.67,44.7,-2.94,-0.4875488,1.784927,-29.81744
-20.83,32.63,-17.4,-7.67,44.7,-2.94,-0.4875488,1.784927,-29.81744
-18.55,31.65,-18.54,-10.35,52.53,-2.2,-0.7854309,1.759789,-29.6719
-18.55,31.65,-18.54,-10.35,52.53,-2.2,-0.7854309,1.759789,-29.6719
-16.45,30.98,-19.77,-15.17,58.03,-3.9,-0.9646606,2.005447,-29.48914
-16.45,30.98,-19.77,-15.17,58.03,-3.9,-0.9646606,2.005447,-29.48914
-16.45,30.98,-19.77,-15.17,58.03,-3.9,-0.9925842,2.749954,-29.60089
-16.45,30.98,-19.77,-15.17,58.03,-3.9,-0.9925842,2.749954,-29.60089
-16.45,30.98,-19.77,-15.17,58.03,-3.9,-0.9925842,2.749954,-29.60089
-10.28,25.71,-19.87,-21.39,61.7,-19.04,-0.995575,3.093941,-29.64567
-10.28,25.71,-19.87,-21.39,61.7,-19.04,-0.995575,3.093941,-29.64567
